originatorType,firmNumber,fundNumber,transactionType,transactionId,tradeDateTime,dollarAmount,clientName,ssn,dob,shareQuantity
1,1,1,B,TXN0000000000001,01012025093000,150.00,JOHN DOE,123456789,01011990,250.00
0,2,2,S,TXN0000000000002,02012025101500,0.00,JANE SMITH,987654321,15071985,150.00
1,3,3,B,TXN0000000000003,03012025143000,250.00,ROBERT WILSON,456789123,02021992,500.00
0,4,4,S,TXN0000000000004,04012025092030,0.00,MARIA GARCIA,321456987,11111988,200.00
1,5,5,B,TXN0000000000005,05012025144520,125.00,DAVID LEE,654321789,09061993,300.00
0,6,6,S,TXN0000000000006,06012025111030,0.00,SUSAN CHEN,852741963,12121980,100.00
1,7,7,B,TXN0000000000007,07012025163045,500.00,MICHAEL BROWN,159753486,04101995,750.00
0,8,8,S,TXN0000000000008,08012025151500,0.00,LISA ANDERSON,258147369,28081989,350.00
1,9,9,B,TXN0000000000009,09012025102030,180.00,JAMES TAYLOR,741258963,07052000,400.00
1,10,10,B,TXN0000000000010,10012025133015,350.00,PATRICIA MARTIN,369258141,19091987,600.00
